Comment,Sentiment
lets not forget that apple pay in 2014 required a brand new iphone in order to use it a significant portion of apples user base wasnt able to use it even if they wanted to as each successive iphone incorporated the technology and older iphones were replaced the number of people who could use the technology increased,neutral
here in nz 50 of retailers donâ€™t even have contactless credit card machines like paywave which support apple pay they donâ€™t like the high fees that come with these,negative
i will forever acknowledge this channel with the help of your lessons and ideas explanations now its quite helpful while youll just sit at your comfort and monitor your account growth,positive
whenever i go to a place that doesnâ€™t take apple pay doesnâ€™t happen too often itâ€™s such a drag between â€˜contactless covidâ€™ habits and my getting the apple card iâ€™ve gotten so used to apple pay that i get seriously annoyed when a store doesnâ€™t take it it feels like a shock itâ€™s crazy how quickly it took over my shopping routine iâ€™ve officially been brainwashed by apple because now it feels so inconvenient to even carry a physical card in my pocket,negative
apple pay is so convenient secure and easy to use i used it while at the korean and japanese airports no need for physical credit cards,positive
weâ€™ve been hounding my bank to adopt apple pay i understand why they donâ€™t want to do it with the extra fees but its just so easy and quick at the checkout,neutral
we only got apple pay in south africa in 20202021 and itâ€™s widely accepted,positive
for now i need both apple pay and the physical credit card,neutral
in the united states we have an abundance of retailers that accept apple pay but its still good to carry the physical card with you being there are still a large quantity of places that do not accept apple pay,positive
in cambodia we have a universal qr code system we scan and send money back and forth all banks take no profit from merchant they receive 100 of the payment a lot of stores and supermarkets start abandon pos machine all together,neutral
wow you really went to town on the psu test rack thats a serious bit of kit very flexible good choices wouldnt surprise me if choma start offering this bespoke rack to the psu makers they all watch your videos so theyll want to make sure it passes on this exact same rack you can really push the industry here well done open source the test interface hardware and software,positive
the lab is the most exciting thing in it ive seen for a while this is reallly going to shake up how the qualiity of even basic components are manufactured,positive
linus im an engineer and love the lmg content across all the channels very much looking forward to more lab content and hope your engineering team will get more on camera time and hosting roles,positive
there used to be a time where linus was the smartest guy in the room this video clearly shows that the team he has built are experts in their respective fields and make linus look like a child kudos to linus and lmg youve grown beyond what i imagined all the best,positive
holy crap i was looking at chroma systems back when i was designing power supplies looks like you guys went all out re the multimeter most oscilloscopes are terrible for making accurate voltage measurements 810 bit adcs they are just for looking at the waveforms,negative
i love the direction this channel is going most tech channels even the best trusted ones are going to review products based on their own experience or at most some things they can measure with their pc but youre really going to mathematically demonstrate if a product is a quality one and why it is love it,positive
i am more excited for the ltt lab than i have been for a lot of content for a while now as everyone seems to be saying its exciting to see how enthusiastic this new crew is to get things running,positive
i adore the working relationship linus has with his team 99 of employees walk on eggshells around their boss and i wish it could be more like this,positive
lmgs growth is honestly something to truly aspire for this is the content we want to watch more technical in depth engineering oriented and sciencebased content will make us consumers much much more educated on these topics thus when picking a product not only will we pick the best choice but well know exactly why we picked it which helps greatly with buyers remorse,positive
i love all the people ltt has added for labs clearly theyre knowledgeable and passionate about tech labs is gonna be killer love it,positive
linus just turn the key lights 180 and bounce them off the walls youâ€™ll get a much softer glow and shadow and way more even lighting itâ€™s such a simple fix iâ€™m not sure where along the lines people got the idea to beam the lights directly at your face ,positive
dan continues to be my new favorite he has such an air of confidence about him and a comforting presence like dan shows up and you just know things are going to be fine,positive
dan managing to set up his soldering station on the one box they needed was incredibly amusing to me,positive
linus gets on his employees cases for all the stuff stolen from the office also linus proudly talks about all the stuff stolen from work hes using in his upgraded setup linus why are you using this monitor as a table also linus uses the monitor as a chair this video was hilarious,positive
linus this is not a table also linus lets use this as a chair,neutral
dan the man saving the day riley needs to give him his own theme like brian the electrician,positive
dan continues to be a favourite for me hes like the incredibly patient but longsuffering dad who just gets on with things,positive
dan is a treasure your channel has long lacked a mr fixit type and while i am sad its not me dan appears quite capable and funny,positive
blows my mind how quickly dan became the rock upon which all things linus standslove it,positive
hey linus a good trick for streaming lights bounce them off the wall much easier on the eyes and a nice softer look also for indoors id recommend a hypercardioid mic looks like a short shotgun like the audiotechnica at4053b,positive
unstoppable experiments with liquid nitrogen ,positive
one of the best things about dude is that he never takes credit for himself wheb he achieves something he always respect us the audience and his team and he is always polite is all of his videos we congratulate ourselves on this achievement more to come and everything to,positive
liquid nitrogen à´‡à´¤àµà´µà´°àµ† à´¤àµ€àµ¼à´¨àµà´¨à´¿à´²àµà´²àµ‡ à´®à´šàµà´šà´¾à´¨àµ†,neutral
liquid nitrogen never ends m4tech poli,positive
29minutes 48k views 93k likes  that is the power of m4tech,positive
 à´•àµ‡à´°à´³à´¤àµà´¤à´¿àµ½ à´†à´¦àµà´¯à´®à´¾à´¯à´¿ à´ªàµ†à´Ÿàµà´°àµ‹à´³à´¿à´¨àµ† à´Žà´¯àµà´¸àµ à´†à´•àµà´•à´¿à´¯ m4tech à´®à´šàµà´šà´¾à´¨àµà´®à´¾àµ¼ ,neutral
epozhum safety is first priority goggles on,positive
congratulations m4tech for achieving 8 million subscribers,positive
à´¤à´¨àµà´¨àµ† à´¤à´³àµ¼à´¤àµà´¤à´¾àµ» à´¨àµ‹à´•àµà´•à´¿à´¯à´µàµ¼ à´ªàµ‹à´²àµà´‚ à´…à´µà´¨àµà´±àµ† à´‰à´¯àµ¼à´šàµà´šà´¯à´¿àµ½ à´ªà´•à´šàµà´šàµ à´¨à´¿à´¨àµà´¨àµ à´ªàµ‹à´¯à´¿  à´•à´·àµà´Ÿà´ªàµà´ªà´¾à´Ÿàµà´‚ à´…à´¦àµà´§àµà´µà´¾à´¨à´µàµà´‚à´•àµŠà´£àµà´Ÿàµ 2 à´ªàµ‡àµ¼ à´ªà´Ÿàµà´¤àµà´¤àµà´¯àµ¼à´¤àµà´¤à´¿à´¯ à´šà´¾à´¨àµ½ m4 tech ,neutral
à´Žà´¤àµà´° à´Žà´Ÿàµà´¤àµà´¤à´¾à´²àµà´‚ à´¤àµ€à´°à´¾à´¤àµà´¤ liquid nitrogen ,neutral
guys a quick note that you do not need all the highend tech in order to do well at college if you can and you should save as much money as you can while at college pay your tuition in full and student loans as soon as possible instead of spending on liabilities like gadgets get the bare minimum you need and only spend money on products you know you are going to be using for 46 years such as laptop dont overspend on phone headphones lamps tablets etc,neutral
this is hilarious i was in a focus group over 4 years ago for best buy where they were asking college students how to advertise for back to school one of the kids next to me said maybe you should have someone like mkbhd talk about your products well here we are,neutral
